name,emotion
Abrasive,negative
Abrupt,negative
Abusive,negative
Accessible,positive
Active,positive
Adaptable,positive
Addictive,neutral
Admirable,positive
Adorable,positive
Adventurous,positive
Affable,positive
Affectionate,positive
Afraid,negative
Aggressive,negative
Agonizing,negative
Agreeable,positive
Aimless,negative
Airy,negative
Alert,positive
Allocentric,positive
Alluring,positive
Aloof,negative
Amazing,positive
Ambitious,positive
American,positive
Amiable,positive
Amicable,positive
Amoral,negative
Amused,positive
Amusing,positive
Angry,negative
Annoyed,negative
Anticipative,positive
Anxious,negative
Apathetic,negative
Appreciative,positive
Arbitrary,negative
Argumentative,negative
Arrogant,negative
Articulate,positive
Artificial,negative
Ashamed,negative
Asocial,negative
Aspiring,positive
Assertive,negative
Astigmatic,negative
Athletic,positive
Attractive,positive
Average,neutral
Awesome,positive
Awful,negative
Bad,negative
Balanced,positive
Barbaric,negative
Beautiful,positive
Belligerent,negative
Benevolent,positive
Best,positive
BestGameEver,positive
Bewildered,negative
Big-headed,negative
BigHeaded,negative
Bitchy,negative
Bitter,negative
Bizarre,negative
Bland,negative
Bloody,negative
Blunt,negative
Blushing,neutral
Boastful,negative
Boisterous,negative
Bold,positive
Bone-idle,negative
Boorish,negative
Bored,negative
Boring,negative
Bossy,negative
Boundless,positive
Brave,positive
Breakable,negative
Bright,positive
Brilliant,positive
Brittle,negative
Broad-minded,positive
BroadMinded,positive
Brutal,negative
Businessman,positive
Busy,neutral
Calculating,negative
Callous,negative
Calm,positive
Cantankerous,negative
Capable,positive
Captivating,positive
Careful,positive
Careless,negative
Caring,positive
Casual,neutral
Cautious,negative
Challenging,positive
Changeable,negative
Charismatic,positive
Charming,positive
Charmless,negative
Cheerful,positive
Childish,negative
Clean,positive
Clear,positive
Clear-headed,positive
ClearHeaded,positive
Clever,positive
Clinging,negative
Cloudy,neutral
Clumsy,negative
Coarse,negative
Coherent,positive
Cold,negative
Colorful,positive
Colorless,negative
Combative,negative
Comfortable,positive
Communicative,positive
Companionable,positive
Compassionate,positive
Complacent,negative
Complaintive,negative
Compulsive,negative
Conceited,negative
Conciliatory,positive
Concurrency,neutral
Concurrent,positive
Condemnatory,negative
Confident,positive
Conformist,negative
Confused,negative
Conscientious,positive
Conservative,negative
Considerate,positive
Constant,positive
Contemplative,positive
Contemptible,negative
Conventional,negative
Convivial,positive
Cool,positive
Cooperative,positive
Courageous,positive
Courteous,positive
Cowardly,negative
Crafty,negative
Crass,negative
Crazy,negative
Creative,positive
Credible,positive
Creepy,negative
Criminal,negative
Critical,negative
Crowded,negative
Crude,negative
Cruel,negative
Cultured,positive
Cunning,negative
Curious,positive
Cute,positive
Cynical,negative
Dangerous,negative
Daring,positive
Dark,neutral
Dashing,positive
Dazzling,positive
Dead,negative
Debonair,positive
Decadent,negative
Deceitful,negative
Decent,positive
Decisive,positive
Declarative,neutral
Decorous,positive
Dedicated,positive
Deep,positive
Defeated,negative
Defective,negative
Defiant,negative
Delicate,negative
Delicious,positive
Delightful,positive
Demanding,negative
Demonic,negative
Dense,neutral
Dependent,negative
Depressed,negative
Deranged,negative
Desperate,negative
Destructive,negative
Detached,negative
Detailed,positive
Determined,positive
Devious,negative
Difficult,negative
Dignified,positive
Diligent,positive
Diplomatic,positive
Directed,positive
Dirty,negative
Disagreeable,negative
Disciplined,positive
Disconcerting,negative
Discontented,negative
Discouraging,negative
Discourteous,negative
Discreet,positive
Dishonest,negative
Disillusioned,negative
Disloyal,negative
Disobedient,negative
Disorderly,negative
Disorganized,negative
Disputatious,negative
Disrespectful,negative
Disruptive,negative
Dissolute,negative
Dissonant,negative
Distinct,positive
Distractible,negative
Disturbed,negative
Disturbing,negative
Dogmatic,negative
Domineering,negative
Drab,neutral
Draconian,negative
Dramatic,positive
Dull,negative
Dutiful,positive
Dynamic,positive
Eager,positive
Earnest,positive
Easily Discouraged,negative
Easy,positive
Easygoing,positive
EasyToGetStarted,positive
EasyToLearn,positive
Ebullient,positive
Educated,positive
Efficient,positive
Egocentric,negative
Elegant,positive
Eloquent,positive
Embarrassed,negative
Eminent,positive
Emotional,positive
Empathetic,positive
Enchanting,positive
Encouraging,positive
Endless,neutral
Endurable,positive
Energetic,positive
Enervated,negative
Enjoyable,positive
Entertaining,positive
Enthusiastic,positive
Enveloping,positive
Envious,negative
Erratic,negative
Escapist,negative
Especial,positive
Esthetic,positive
Evasive,negative
Evil,negative
Excellent,positive
Excitable,negative
Excited,positive
Exciting,positive
Exclusive,positive
Expedient,negative
Expensive,negative
Extraordinary,positive
Extravagant,negative
Extreme,negative
